iter	Passed	Remaining
0	1	133
1	4	197
2	5	184
3	6	165
4	8	167
5	10	172
6	12	167
7	14	164
8	15	157
9	16	151
10	17	145
11	19	140
12	20	135
13	21	132
14	22	129
15	23	125
16	25	122
17	26	120
18	27	117
19	28	115
20	30	113
21	31	110
22	32	108
23	33	106
24	34	104
25	35	102
26	37	100
27	38	98
28	39	96
29	40	94
30	41	93
31	42	91
32	44	89
33	45	88
34	46	87
35	48	86
36	49	84
37	51	83
38	52	82
39	53	80
40	55	79
41	55	76
42	56	75
43	57	73
44	58	71
45	60	70
46	61	69
47	62	67
48	63	66
49	64	64
50	65	63
51	67	61
52	68	60
53	69	59
54	70	57
55	71	55
56	72	54
57	73	53
58	74	51
59	75	50
60	76	49
61	78	47
62	79	46
63	80	45
64	81	43
65	82	42
66	83	41
67	84	39
68	85	38
69	86	37
70	88	35
71	89	34
72	90	33
73	91	32
74	92	30
75	93	29
76	95	28
77	96	27
78	97	25
79	98	24
80	99	23
81	101	22
82	102	20
83	103	19
84	104	18
85	106	17
86	107	16
87	108	14
88	109	13
89	111	12
90	112	11
91	113	9
92	114	8
93	116	7
94	117	6
95	118	4
96	119	3
97	120	2
98	122	1
99	123	0
